jobCpy,jobTitle,jobMes,jobSal,jobCon,jobAdd,jobUrl
深圳市涌浪网络技术有限公司,"
Python工程师（爬虫方向）","
深圳-南山区|无工作经验|本科|招若干人|08-18发布|计算机科学与技术 软件工程",15-20万/年,"你会负责：
* 日均千万次抓取请求的分布式爬虫框架的优化与升级；
* 开发新的网站爬虫，并撰写相关设计文档；
* 协助架构师设计并实现爬虫数据质量监控平台；
* 协助数据分析师，完成数据清洗、评估以及可视化。
（我们将会安排优秀的工程师带你学习公司现有的爬虫框架，了解爬虫相关前沿技术，让你快速融入到公司的开发氛围。）
希望你：
* 本科及以上学历；
* 1年及以上python项目独立开发经验，具备良好的文档撰写能力；
* 熟悉scrapy、pyspider等爬虫框架者优先，拥有数据抓取经验者优先；
* 熟悉MySQL等关系型数据库以及SQL语言，至少掌握一种NoSQL数据库，了解mongodb数据库者优先；
* 熟悉计算机网络、数据结构以及常用算法，对网络、存储性能优化有了解者优先；
* 具有较强的主动学习能力、良好的沟通表达能力。
关于我们：
* 我们是一个年轻的卧卧平台数据科学团队，希望使用技术改变商业世界，实现数据驱动的精细化研究、运营与决策。
加入我们：
* 我们专注于前沿技术和产品的研发，包括数据采集沉淀 /分布式处理和存储 /高性能实时运算 /数据挖掘 /自然语言处理 /数据可视化。每天的工作都充满了挑战性，一定不会无聊。
* 我们的团队很扁平，只有协作没有层级。我们有高度自治的工作氛围，每一个人都有充分的自主权选择更优秀的方案完成自己负责的工作。
* 我们主力语言是 Python 、 Java 和 Javascript ，技术栈包含  MongoDB  、 Docker ，以及各种自己开发维护的黑科技。我们有着浓厚的工程师文化，乐于尝试大量的开源项目，并做出贡献。
* - 如果你擅长并热爱这份工作，我们非常期待你的加入，一起改变世界
职能类别：
大数据开发/分析
高级软件工程师
关键字：
Python工程师
Python
爬虫",沙河世纪假日广场B座507/514,https://jobs.51job.com/shenzhen-nsq/95338712.html?s=01&t=0
桑尼号（深圳）科技有限公司,"
python爬虫工程师","
深圳-南山区|3-4年经验|本科|招1人|06-21发布",1.5-2万/月,"岗位职责：
    1. 负责数据采集，参与爬虫架构的设计与研究；
    2. 编写新的数据抓取程序，提高网页抓取的效率和质量等问题；
    3. 参与爬虫核心算法和策略优化,熟悉采集系统的调度策略；
    4. 负责网页信息抽取优化
    任职资格：
    1. 计算机相关专业,精通数据结构和数据算法；
    2. 熟悉网页抓取原理及技术，熟悉基于Cookie的网站登录原理，
    3. 熟悉基于正则表达式、XPath、CSS等网页信息抽取技术
    4. 4年以上大规模网页爬虫开发经验；
    5. 熟悉熟练使用python；
    6. 熟悉分布式系统的设计和应用
    7. 有良好的沟通和学习能力、有较强的团队协作能力以及快速解决问题的能力。
公司位于：南山科技园北理工创新大厦603（5A级新办公环境，2号线“科苑”站D出口500米即到）
公司属新兴互联网+人力资源创业公司，创始人是行业风云标杆、大咖级人物；
老板Nice 扁平人性化管理；各种薪酬福利齐全走心：
1、五险一金、双休、年终奖只是标配
2、弹性上下班、加班餐补、交通补贴、下午茶、生日会、团建、旅游……还有更多让你想不到的惊喜！
公司官网：www.sunny-chn.com
职能类别：
大数据开发/分析
关键字：
精通数据结构",南山区粤兴五道9号北理工创新大厦603室,https://jobs.51job.com/shenzhen-nsq/99416260.html?s=01&t=0
深圳市财税无忧科技有限公司,"
Python爬虫工程师","
深圳|3-4年经验|招若干人|07-30发布",1-1.5万/月,"岗位职责
1.负责内容爬取后，开发抽取规则，对精选内容进行批量抽取，并不断细化规则和维护整个工作的稳定性。
2.负责设计和开发网络爬虫应用，进行互联网相关信息的抓取和分析；
3.负责网页信息抽取技术的研究和开发；
4.负责解决爬取过程中的问题；
 任职要求：
1、熟悉网页抓取原理及技术，熟悉基于Cookie的网站登录原理，熟悉基于正则表达式、Xpath、CSS等网页信息；
2、精通Python/java 编程语言，精通Javascript，对HTTP协议及HTML有深入的了解；
3、精通正则表达式，用于从各种网络结构化和非结构化数据中抽取有用的信息；
4、熟练掌握数据库开发，对数据处理和数据质量有较深认识；精通至少一种主流数据NoSQL、mysql数据库；
5、熟悉http client、js, ajax, webdriver、htmlunit、Nutch、selenium、ETL、HtmlParser、Jsoup，webmagic等技术优先；
6、有海量数据爬取经验者优先；有爬取过微博，，淘宝等平台数据优先；具有自然语言处理、机器学习背景优先。
7、经验3-5年 / 大专及以上 / 全职
工作地点：深圳
工资待遇 10K-15K以上
联系人：张小姐 13544249005
职能类别：
高级软件工程师",福田区竹子林,https://jobs.51job.com/shenzhen/96342959.html?s=01&t=0
深圳市光速度科技有限公司,"
Python开发工程师（坂田）","
深圳-龙岗区|1年经验|大专|招2人|08-18发布",6-9千/月,"岗位职责：
1、负责搭建电商平台系统，并完成数据建立模型；
2、负责企业信息运营及ERP实施；
3、负责企业信息系统及数据库的设计与开发；
4、设计爬虫策略和防屏蔽规则，解决封账号、封IP、验证码等难点攻克。
5、搭建高性能的技术架构，不断提升网页抓取的效率和质量。
6、公司分配的的其它任务。
任职要求：
1、熟悉php，python,能独立搭建网站，至少一年以上相关工作经验。
2、熟悉至少一种框架Thinkphp、Django、flask、Scrapy。
3、爬虫相关工作经验,负责内容爬取后，开发抽取规则，对精选内容进行批量抽取,进行数据去重。
4、熟悉常用网络协议，熟悉http代理、模拟登录，动态数据获取等，有扎实的数据结构基础和编码能力。
5、熟悉MySQL、Mongodb等主流数据库。
职能类别：
技术支持/维护工程师
关键字：
Python开发
PHP
数据
开发
工程师",深圳市龙岗区坂田坂雪岗大道宏奕产业园区内坂雪创业园三楼（世纪华茂百货旁）,https://jobs.51job.com/shenzhen-lgq/103806875.html?s=01&t=0
深圳齐牛互联网金融服务有限公司,"
Python开发工程师","
深圳-南山区|无工作经验|招1人|08-18发布",1.5-2万/月,"岗位职责：
1、结合公司的金融科技相关业务，参与公司大数据项目的相关研究和开发工作。
2、设计相关数据和技术方案，运用合适技术，解决项目遇到的问题。
3、参与项目模块设计和业务逻辑开发等工作。
岗位要求：
1、计算机类相关专业本科及以上学历，3年以上互联网开发经验；
2、专业基础扎实，对数据结构及常用算法、计算机网络基础及应用层协议、操作系统原理及应用等内容有较深入认识；
3、满足以下至少一项要求：
    熟悉Java语言体系相关技术，Spring、MyBatis等开源框架应用经验丰富；
    熟悉Python语言，能熟练使用标准库及其他重要的第三方库；
    对前端（包括但不限于Android、iOS、Web、Windows应用程序）开发体系有较深入理解，熟悉相关平台的研发辅助工具；
4、熟悉Linux使用，掌握常用的RDBMS及NoSQL数据库，有爬虫库或相关框架使用经验者更佳；
5、有金融科技开发经验、有较强研究能力者优先；
6、良好的团队协作精神和执行力，较强的分析问题和解决问题能力。
职能类别：
互联网软件开发工程师
高级软件工程师",铜鼓路华润置地大厦E座38D单元,https://jobs.51job.com/shenzhen-nsq/105774944.html?s=01&t=0
深圳市芒柠科技有限公司,"
Python开发工程师","
深圳-南山区|2年经验|大专|招若干人|08-18发布",0.8-1.5万/月,"岗位职责：
1、基于Python的新项目开发，根据公司产品规划，开发新系统；
2、负责项目架构设计、模块划分，编写衔接算法与前端页面展示的代码；
3、严格按照项目进度要求进行程序开发；对所编写的程序进行严格的综合测试，进行软件故障的诊断、定位、分析和调试，维持系统稳定运行；
4、按照要求完成相关开发文档的整理与编写；
5、上级领导交办的其他事项。
任职要求：
1、计算机相关专业大专及以上学历；
2、精通Python，有2年以上Python 项目开发经验；
3、熟悉 Linux 、Shell、以及其常用命令；熟悉版本控制工具（Git）优先考虑；
4、具备数据库设计能力，熟悉 MySQL 数据库应用开发，了解 MySQL 的数据库配置管理、具有 MySQL 索引优化、查询优化和存储优化经验与技能；
5、掌握软件设计流程和软件工程规范，具备良好而规范的设计和技术文档编写能力，拥有良好的编写代码习惯，逻辑结构清晰，命名规范，代码冗余率低；
6、可承受一定的工作压力并在指定的时间内完成高质量的程序。职能类别：
软件工程师
关键字：
python
python爬虫
软件工程师
python开发",大冲国际中心13楼,https://jobs.51job.com/shenzhen-nsq/97643355.html?s=01&t=0
深圳市富龙小额贷款有限公司,"
爬虫工程师","
深圳|1年经验|本科|招2人|08-18发布",1-2万/月,"岗位职责：
1、 负责设计、开发、部署、维护分布式网络爬虫系统，参与数据爬取平台相关工具平台的架构设计与产品开发等工作；为公司业务提供正确稳定的数据分析结果；
2、 参与数据层建设，专注于基础数据采集平台建设，研究指定网页特点和规律，负责网页信息采集，文档识别及提取、数据清洗加工整理（ETL），结果产出（可视化）等研发和优化工作；
3、设计爬取、调度和抽取算法，优化系统，有金融相关爬虫经验优先；
4、负责抓取数据的深刻提取和挖掘；
5、针对不同网站的反爬虫技术提出有效的应对策略，提升网页抓取的效率和质量。
任职要求：
1、本科以上学历，计算机，软件工程相关专业
2、1-3年PHP、Spider爬虫、python,java等爬虫抓取开发经验，熟悉mongodb，Redis，mysql，SQL Server等数据库技术
3、熟悉网页抓取原理及技术，熟悉基于Cookie的网站登录原理。精通正则表达式，从结构化的和非结构化的数据中获取信息；熟悉基于正则表达/Xpath/CSS等网页信息提取。
4、熟悉html/js/css等前端技术优先；；
5、具有良好的逻辑分析能力、学习能力、沟通能力和协作能力；具有积极的工作态度，勤奋上进，有责任心，独立解决问题的能力。
                                                
6、 擅长，数据分析，数据统计，数据挖掘，数据建模，数据可视化输出。
职能类别：
互联网软件开发工程师",雅宝路1号星河World A栋1505,https://jobs.51job.com/shenzhen/105115605.html?s=01&t=0
深圳市源极光科技有限公司,"
爬虫工程师","
深圳-南山区|2年经验|本科|招2人|08-18发布",1-2万/月,"岗位职责：
1. 负责定向数据的采集与爬取、解析处理、入库及备份等数据日常工作；
2. 负责分析新的数据需求, 评估数据采集难度，安排采集工作及时交付；
3. 负责非定向数据的清洗、整理、整合及合并等工作；
4. 负责数据中心的规划和管理工作。
任职资格：
1. 计算机相关专业本科以上学历，3年以上数据采集，爬虫相关工作经验。
2. 精通java或者python，熟悉一种以上主流的爬虫工具优先，如webmagic，nutch等。
3. 精通网页抓取原理及技术、正则表达式、xpath,能够从结构化的和非结构化的数据中获取信息；
4. 至少熟悉一种关系型数据库，如Mysql、Oracle、MSSQL等；
5. 良好的沟通能力和团队合作精神，有团队管理工作经验优先考虑。
6. 具备较强的责任心，创新意识，能接受持续交付的工作环境。职能类别：
软件工程师",深圳市南山区后海大道2388号怡化金融科技大厦18楼,https://jobs.51job.com/shenzhen-nsq/97930171.html?s=01&t=0
深圳市前海谷雨网络科技有限公司,"
Python开发工程师","
深圳-南山区|3-4年经验|大专|招2人|08-18发布",1.5-2万/月,"岗位职责：
1.负责设计和开发分布式的网络爬虫应用，进行互联网相关信息的抓取和分析；
2.负责网页信息抽取技术的研究和开发；
3.负责解决爬取过程中的各种反爬问题；
任职要求：
1.大专以上学历，3年以上互联网金融产品开发工作经验优先考虑；
2.熟悉Python、C/C++编程，有相关研发经验优先；
3.熟悉数据库操作、python面对对象原则；
4.熟悉mysql,mongodb,了解es；
5.熟悉多线程，多进程；
6.有良好的沟通能力、处理解决问题的能力、抗压能力和强烈的责任感； 
7.高度的责任心、良好的沟通技巧和团队合作精神；职能类别：
软件工程师
关键字：
python
python爬虫
软件工程师
python开发",学府路怡化金融科技大厦17楼,https://jobs.51job.com/shenzhen-nsq/93926792.html?s=01&t=0
深圳市换换优品科技有限公司,"
爬虫开发工程师","
深圳-福田区|无工作经验|招1人|08-18发布",0.9-1.5万/月,"使用AJAX URL和Firebug扩展来爬取数据，以及有关爬取技术的更多真相，比如使用浏览器渲染、管理cookie、通过提交表单从受验证码保护的复杂网站中抽取数据等。
利用python数据分析准备工作
利用numpy解决随机漫步案例
利用pandas完成数据汇总和描述
数据加载、存储与文件格式
数据规整化、数据聚合与分组运算
职能类别：
软件工程师
高级软件工程师",车公庙阳光高尔夫大厦9楼整层,https://jobs.51job.com/shenzhen-ftq/101353488.html?s=01&t=0
