jobCpy,jobTitle,jobMes,jobSal,jobCon,jobAdd,jobUrl
戴勒姆国际文化艺术品展览销售（深圳）有限公司,"
奢饰品销售实习生","
深圳-龙华新区|无工作经验|招5人|08-17发布",6-8千/月,"1、无责底薪3000-5000（根据个人能力往上递）+提成=均薪8000-12000（上不封顶）
2、工作环境优美、配套齐全的宿舍
3、通讯补助+月度、年度现金奖励+业绩激励奖金（团队及个人）
4、专业的入职培训，不怕没学历和工作经验，只要有学习能力
5、完善的晋升机制（销售助理-交易经纪人-项目总监-副经理-总经理） 只要你相信自己，有能力，想挑战高薪，调整成功，在这个平台就可以施展自己的实力！！
任职要求：
1、22-28岁，口齿清晰，普通话流利，语言富有感染力
2、具有较强的学习能力和优秀的沟通能力
3、性格坚韧，思维敏捷，具备良好的应变能力和抗压能力
4、不要求相关经验，公司有专业培训（90%新进员工都没有相关经验）
工作内容：
1. 公司提供上门客户资源，投资顾问通过电话等方式给客户介绍公司服务，完成销售任务；
2. 维护好老客户关系，为二次开发做准备；为前来咨询的客户安排好洽谈签单日程，协助客户办理合同委托手续等工作。
公司统一提供有意向的客户名单, 通过呼叫系统拨打电话，以专业职业人的身份与客户进行有效沟通；无需外出，无需自己开发客户。
职能类别：
实习生
关键字：
实习生
储备干部
销售代表
销售
业务",龙华民治优城商务大厦A座1516,https://jobs.51job.com/shenzhen-lhxq/105775028.html?s=01&t=5
深圳市商汤科技有限公司,"
嵌入式实习生","
上海-徐汇区|无工作经验|本科|招1人|08-03发布",2-3千/月,"【实习6个月及以上】
工作职责:
1. 基于相关嵌入式系统平台开发高性能、实时运行的视频分析引擎；
2. 负责将基于深度学习的计算机视觉算法移植到相关嵌入式系统平台；
2. 和AI***研究员深入合作，推动深度学习算法在嵌入式系统平台上的高性能实现与应用落地；
3. 编写相关开发支持文档和工具。
任职资格:
1. 本科及以上学历，计算机、电子工程或相关专业；
2. 至少有如下一种嵌入式平台的开发经验，如ARM、Nvidia TX1/2、FPGA等，熟悉Linux系统开发环境；
3. 熟练掌握C/C++、python等编程语言， 具有良好的代码风格和质量意识；
4. 熟悉图像处理的基本方法，了解深度学习、计算机视觉主流算法；
5. 责任心强，具有良好的学习能力、沟通能力和团队合作精神；
6. 有实际项目或者编程竞赛经验者优先。
职能类别：
硬件工程师
关键字：
嵌入式
实习生",上海市徐汇区龙腾大道2835号,https://jobs.51job.com/shanghai-xhq/105061926.html?s=01&t=0
北京谨捷数据科技有限公司,"
DBA/数据库运维工程师实习生","
深圳-罗湖区|无工作经验|大专|招5人|06-27发布",4.5-6千/月,"岗位职责：
1、负责数据库系统的管理工作，保证其安全、可靠、正常运行；
2、负责数据库服务器的管理工作，做好服务器的运行记录；
3、负责数据库系统的建设，做好服务器的维护、数据库软件的安装、数据库的建立工作，定期对数据进行备份；
4、SQL优化，负责对问题SQL提出优化及改进建议；
5、根据公司和部门工作需要，完成领导交办的其他任务；
任职要求：
1、专科及以上学历，、计算机、网络技术等相关专业优先考虑；
2、了解ORACLE数据库体系结构以及安装、配置、升级、迁移、备份恢复的优先；
3、了解Unix/Linux操作系统；熟悉Bash、Perl，Python等脚本语言的优先；
工作时间:
9:00-18:00 午休2个小时
周末双休，节假日加班工资按国家标准发放。
福利待遇：
1：富有竞争力的薪酬水平和其他福利津贴；
2：健全的五险一金；
3：给予完善的绩效考核，年终奖金及定期调薪；
4：完善的培养体系和晋升机制；
5：带薪休假（年假，婚假，丧假，病假等）；
6：丰富的业余集体活动（拓展，旅游，聚餐，年会等）。
职能类别：
技术支持/维护工程师
房地产中介/置业顾问
关键字：
DBA
大数据
实习生
数据库
运维
应届生
零经验",瑞思大厦,https://jobs.51job.com/shenzhen-lhq/102623905.html?s=01&t=0
伊拾壹企业管理咨询（深圳）有限公司,"
AI工程师（实习生）(职位编号：AM/AI/001)","
深圳-罗湖区|无工作经验|硕士|招2人|07-16发布|计算机科学 应用心理学",500元/天,"工作职责： 参与前沿区块链人工智能技术研发，构建全球创新的情感分析人工智能，建构数字化心理数据库。 
任职要求： 
1. 硕士以上学历，具备良好的数学理解能力，能熟练阅读英文论文。 
2. 熟练运用Java或C++、并具备Python语言开发能力，3年以上开发经验。 
3. 具有较强的学习能力、逻辑分析能力、问题排查能力、沟通能力及自我驱动动力。 
4. 具有NLP处理工具、网络爬虫，结构化数据提取，数据分析等使用/开发经验者优先。 
5. 掌握sklearn、TensorFlow、spark MLlib等机器学习工具。 
6. 有机器学习相关经验，熟悉经典机器学习算法，如LR、SVM、决策树、集成学习等，精通深度学习者优先； 
7. 有音频识别、机器翻译、自然语言处理等AI领域的相关经验的优先
职能类别：
算法工程师
科研人员
关键字：
AI
区块链
人工智能
创新",深圳羅湖區深南東路5002號地王大廈55層,https://jobs.51job.com/shenzhen-lhq/101684418.html?s=01&t=0
亚信科技（中国）有限公司,"
算法实习生（深圳）","
深圳|无工作经验|本科|招若干人|07-24发布",,"【工作职责】
1、负责核心算法的持续优化和调整；
2、负责算法与业务结合后的参数优化及调整；
3、负责千亿级上网日志、位置信令数据的探索工作 ；
4、配合应用机器学习和人工智能尖端技术，突破运营商领域注智核心算法问题。
【职位要求】
1、2019届应届毕业生，本科及以上学历，985/211毕业院校优先，数学、计算机软件相关专业；
2、有扎实的数学理论基础，熟悉机器学习原理与算法；
3、能熟练运用分类、回归、推荐等模型解决相关问题；
4、掌握至少一种开源机器学习框架，并对机器学习理论有深入了解；
5、有C/C++、R、Python语言开发经验者优先；
6、熟悉深度学习工具，如Caffe、Tensorflow/Keras、MXNet等优；
7、有NLP，语音识别，图像识别经验者优先；
8、熟悉计算机体系结构，能够在算法层和指令层对算法库进行优化和裁剪者优先；
9、实习时间要求一周能保证至少4天，实习周期3个月以上，能保证实习6个月以上的优先考虑。
职能类别：
大学/大专应届毕业生",None,https://jobs.51job.com/shenzhen/101435899.html?s=01&t=0
平安证券股份有限公司,"
信息技术中心系统测试实习生（深圳）","
深圳|无工作经验|本科|招1人|04-28发布",,"具体要求：
1、学历、专业要求：重点院校计算机、数学等相关专业
2、专业技能要求：熟练掌握Python、shell等编程语言，熟悉django、spring boot等通用开发框架，了解docker、k8s、redis、kafka、zk等相关技术
3、综合素质要求：有较强的沟通能力、学习能力、理解能力、自我驱动力、逻辑强
岗位职责：
1、协助收集、整理用户运维工具需求
2、运维自动化脚本编写及测试
3、协助进行项目管理
4、完成领导交办的其它工作
职能类别：
信息技术经理/主管",None,https://jobs.51job.com/shenzhen/101472697.html?s=01&t=0
深圳市腾美广告有限公司,"
Web前端开发工程师（实习）","
深圳-南山区|无工作经验|大专|招1人|07-13发布",4-6千/月,"1、专科及以上学历，2年及以上前端开发实践经验；
2、熟练(X)HTML、JavaScript编程，熟悉AS/AJAX/HTML5/CSS等前端开发技术；
3、熟练掌握W3C标准、HTML5、CSS3，熟练掌握不同浏览器之间的兼容技术；
4、至少掌握Jquery、AngularJS、Bootstrap、requireJS、SeaJS、React.js，vue.js等其中2种前端框架，了解个中原理；
5、至少熟悉JSP/CGI/Python/PHP/Node.js或一种其他类似后台技术，对前后端联合开发的技术原理有全面认识；
6、了解并使用过ES6，有小程序开发经验***。
7、良好的沟通能力，快速学习能力，对前沿前端技术感兴趣。  
职能类别：
Web前端开发",深圳市南山区深南大道12069号海岸时代东座708,https://jobs.51job.com/shenzhen-nsq/103333740.html?s=01&t=0
字节跳动,"
后端研发实习生 - 抖音/火山(职位编号：23910)","
深圳|无工作经验|本科|招5人|08-07发布",6-8千/月,"职位描述:
1、参与抖音、火山核心服务研发；
2、参与持续集成、容灾演练平台、问题定位、发布流程相关研发
职位要求:
1、本科及以上学历，计算机相关专业，大三&研二优先；
2、有扎实的数据结构和算法功底，计算机基础功底扎实；
3、至少熟练掌握一门编程语言（C/C++/Java/Python/Golang/PHP等）；
4、热爱编程，有强烈的求知欲、好奇心和进取心，有较强的学习能力，能及时关注和学习业界***；
5、每周可实习3天以上，可实习3个月以上
职能类别：
互联网软件开发工程师",南海大道2163号来福士广场15层,https://jobs.51job.com/shenzhen/105178974.html?s=01&t=0
星美控股集团有限公司,"
数据分析师（实习岗）","
深圳-福田区|无工作经验|大专|招1人|07-13发布",3-4.5千/月,"岗位职责:
1、报表设计：针对各个部门业务需求设计报表。
2、协助完善公司数据仓库，处理各种数据业务。
3、负责影片首映分析、档期分析等分析报表，为管理决策提供数据支持；
4、对会员数据进行深入分析，挖掘，促进会员业务的发展。
任职资格：
1、要求本科以上，统计学、计算机、或数学相关专业，面试请出示考试成绩记录；
2、能够熟练操作excel（精通透视表，条件格式，数据有效性等功能）者优先；
3、能够运用python、R等进行数据处理，或运用sas、spss等软件进行数据分析者优先；
4、乐观开朗，责任心强，工作细致耐心，有良好的沟通能力.
工作地点：深圳市福田区福田体育公园新媒体广告产业园18楼
工作时间：五天八小时
职能类别：
数据库工程师/管理员
其他
关键字：
大平台
数据分析",福田体育公园新媒体广告产业园18楼,https://jobs.51job.com/shenzhen-ftq/99000076.html?s=01&t=0
深圳丹晴科技有限公司,"
量化研究实习生","
深圳-南山区|无工作经验|本科|招1人|07-17发布",4.5-6千/月,"1、 协助研究量化策略以及进行数据发掘。
2、 协助数据的处理，以及量化建模。
3、 撰写并汇报量化分析等相关报告。
4、 编写数据处理脚本语言。
4、 上级安排的其他工作。
任职要求：
1、拥有数理统计基础和编程能力，熟悉一门编程语言，擅长Python和MS SQL优先；
2、熟悉必要的金融知识，具备优秀的数理编程能力此条可酌情放宽；
3、工作态度积极，具备优秀的学习、探索、逻辑分析及推理能力，良好的沟通和团队合作。
职能类别：
金融/经济研究员
关键字：
数据处理
建模",海王银河科技大厦1501,https://jobs.51job.com/shenzhen-nsq/102797629.html?s=01&t=0
